number,value,datetime_start,datetime_complete,duration,params_a_0,params_a_1,params_a_2,params_a_3,params_a_4,params_a_5,params_a_6,params_u_dc_0,params_u_dc_1,params_u_dc_2,params_u_dc_3,params_u_dc_4,params_u_dc_5,params_u_dc_6,state
614,0.7207421503330161,2025-12-02 20:13:58.375107,2025-12-02 21:05:23.134075,0 days 00:51:24.758968,0.5127955183135047,0.029430726588825507,-1.028421327532752,-1.7019158769057674,0.10882124790337057,0.37464958032953166,1.6232904936903454,0.052137597596864094,0.6088227692747119,0.9438291989522188,0.36364227819623474,0.2865775306164099,0.6772600584291734,0.03723634430759257,COMPLETE
615,0.7297811607992388,2025-12-02 21:05:23.569385,2025-12-02 21:57:05.430941,0 days 00:51:41.861556,0.6220572462636007,0.19306582917541404,-0.8585133651549502,-0.11678962676157721,0.16781860188589043,0.026802736546259975,1.4016491578693895,0.027489357800897594,0.5397041216536917,0.9584052616041482,0.4103220432476738,0.1001670379683936,0.6065724589774141,0.09118183212489456,COMPLETE
616,0.7017126546146527,2025-12-02 21:57:05.735208,2025-12-02 22:48:41.344333,0 days 00:51:35.609125,0.582700815315725,0.928310813973745,-1.144032418231788,0.26689708546651736,-0.2402351268042629,0.254501028304452,-0.6023810539823324,0.0722469450812625,0.6359387333325648,0.9886925211690888,0.3787660756617565,0.3076090441124275,0.6560639570768133,0.10887405541057138,COMPLETE
617,0.7402473834443387,2025-12-02 22:48:41.740864,2025-12-02 23:40:04.278119,0 days 00:51:22.537255,0.49702324134829506,0.09133592618083775,-0.8691059161212197,0.2049917743736463,0.042809311568049124,0.15649735548687987,1.5794308978884404,0.027549373293029138,0.524039269272682,0.9433991596547602,0.3518212306270851,0.07078540111474892,0.6213013381287436,0.06036113105652148,COMPLETE
618,0.4605137963843958,2025-12-02 23:40:04.546814,2025-12-03 00:35:54.103854,0 days 00:55:49.557040,0.6977147249539943,-0.11473593816686373,1.9908025873987043,0.12795153979741244,0.20816159908476317,0.04091866568129324,1.440875495736505,0.20868004865824458,0.5866260454736262,0.922857920004303,0.4028124386561744,0.17469783451323623,0.6344894720945614,0.10116093623651752,COMPLETE
619,0.7350142721217888,2025-12-03 00:35:55.357734,2025-12-03 01:28:16.018982,0 days 00:52:20.661248,0.3255459488416078,0.2622115457651556,1.7117129922168055,0.011826993674757924,-0.1163765862624968,0.09689330488356179,1.7344509689698915,0.04937386187714035,0.4773373837968524,0.9683921165709941,0.33685433270048587,0.2648612187774114,0.6869823977481333,0.07507719655994267,COMPLETE
620,0.7383444338725024,2025-12-03 01:28:16.456923,2025-12-03 02:20:07.038034,0 days 00:51:50.581111,0.526006798575256,0.11763147847120907,-1.1906903916041836,0.17664513248676766,0.15313515741188183,0.20553667299161102,0.3141235069651924,0.09127179349805395,0.5657304083059879,0.9422000528201803,0.4218619040268498,0.12320000523156442,0.47004665125810324,0.11579494967178895,COMPLETE
621,0.6674595623215985,2025-12-03 02:20:07.330320,2025-12-03 03:11:54.436906,0 days 00:51:47.106586,0.6837784235253647,-0.02514967549891612,-0.9878750060725451,-0.22044701286024543,-0.01838483653611806,0.3237865165622815,0.8805421857823685,0.010014269296335464,0.6014685478975357,0.905092651802642,0.2924553648597774,0.10316244349037815,0.6002933731528483,0.7755146439499702,COMPLETE
622,0.7297811607992388,2025-12-03 03:11:54.702373,2025-12-03 04:03:16.743301,0 days 00:51:22.040928,0.40227027025707407,0.20830031792537684,-1.2432106801118687,0.34824467881241383,0.2430309430760002,-0.025599547405443207,0.059749193428544456,0.06980821546599933,0.5507096100674261,0.9983570171036062,0.39026945534932334,0.14919069280985003,0.48078354787292743,0.054961335334145406,COMPLETE
623,0.6941008563273073,2025-12-03 04:03:17.000228,2025-12-03 04:54:44.549015,0 days 00:51:27.548787,1.2388366140574552,0.7751765047074526,1.682560155391407,0.09814574741271487,0.08758182181355631,0.13047115783556723,1.4933309002068873,0.04027131532690419,0.5242655033454969,0.9571232072836672,0.44829041578158735,0.19432080278854436,0.6391626319430348,0.31396633956739317,COMPLETE
