number,value,datetime_start,datetime_complete,duration,params_a,params_lambda,params_mu,params_new_fs,params_u_dc,state
108,0.2521408182683159,2025-11-19 09:21:51.981176,2025-11-19 09:32:58.967443,0 days 00:11:06.986267,2.393665862363055,221138.2863868008,3.122820354919527,26089,0.9764754887266857,COMPLETE
109,0.26117982873453854,2025-11-19 09:32:59.342104,2025-11-19 09:44:02.115358,0 days 00:11:02.773254,2.31421884082647,158744.47161928276,4.686640251254184,25977,0.975097704158844,COMPLETE
110,0.2530922930542341,2025-11-19 09:44:02.415577,2025-11-19 09:55:35.482627,0 days 00:11:33.067050,2.2863985110637755,165950.8499643992,4.464922335591951,26342,0.9844477579483616,COMPLETE
111,0.2554709800190295,2025-11-19 09:55:35.733565,2025-11-19 10:08:07.335830,0 days 00:12:31.602265,2.252404975528355,171550.5363509874,4.684813196619316,28785,0.9819167804958562,COMPLETE
112,0.24595623215984777,2025-11-19 10:08:07.528775,2025-11-19 10:20:52.837410,0 days 00:12:45.308635,2.347458221411447,230814.0060346365,4.759046209347777,29491,0.979120175606851,COMPLETE
113,0.24738344433872503,2025-11-19 10:20:53.070111,2025-11-19 10:33:09.973584,0 days 00:12:16.903473,2.3146404852814753,233317.452677071,4.690929077508544,29142,0.9766061734704793,COMPLETE
114,0.24405328258801143,2025-11-19 10:33:10.225041,2025-11-19 10:44:28.690573,0 days 00:11:18.465532,2.4394274303726595,143624.74727003346,4.5349752563624675,26525,0.9800411551708523,COMPLETE
115,0.22359657469077068,2025-11-19 10:44:28.941528,2025-11-19 10:56:25.932244,0 days 00:11:56.990716,2.2798969898284924,402370.84258806106,4.81031566587517,28347,0.9190742370587945,COMPLETE
116,0.25404376784015226,2025-11-19 10:56:26.273734,2025-11-19 11:08:05.250542,0 days 00:11:38.976808,2.8691686688815587,66365.78590727148,4.428821171028269,27072,0.9690929844084958,COMPLETE
117,0.24690770694576594,2025-11-19 11:08:05.483421,2025-11-19 11:19:55.441799,0 days 00:11:49.958378,2.874618498765992,56607.45226081579,4.432066307049137,27834,0.9545452143296945,COMPLETE
118,0.2164605137963844,2025-11-19 11:19:55.786393,2025-11-19 11:30:54.863683,0 days 00:10:59.077290,2.976744575759013,140844.7814226296,4.960574762015736,26021,0.9966165163755428,COMPLETE
119,0.21550903901046622,2025-11-19 11:30:55.200110,2025-11-19 11:42:18.756023,0 days 00:11:23.555913,2.679652523802749,707138.6499598055,4.421671858264717,26556,0.9251806369090093,COMPLETE
120,0.230732635585157,2025-11-19 11:42:19.276038,2025-11-19 11:53:50.792986,0 days 00:11:31.516948,2.5380015875612574,33186.19732788841,4.598593428743902,27010,0.8948278718771413,COMPLETE
121,0.241674595623216,2025-11-19 11:53:51.023520,2025-11-19 12:04:50.815899,0 days 00:10:59.792379,2.1387054031923007,81315.93526090494,4.386718763919967,25419,0.9656220978056796,COMPLETE
122,0.22502378686964797,2025-11-19 12:04:51.104534,2025-11-19 12:17:01.955827,0 days 00:12:10.851293,2.813368845523241,357454.19803672575,4.199265558214046,28122,0.9449827725675025,COMPLETE
123,0.2602283539486204,2025-11-19 12:17:02.193107,2025-11-19 12:29:59.005411,0 days 00:12:56.812304,2.33994539545579,72164.9319747436,4.643395037163616,29431,0.9790892935914601,COMPLETE
124,0.2702188392007612,2025-11-19 12:29:59.271503,2025-11-19 12:41:46.601682,0 days 00:11:47.330179,2.456070203477861,67331.48914822431,4.589272885602604,27320,0.9824183293981332,COMPLETE
125,0.21788772597526165,2025-11-19 12:41:46.843387,2025-11-19 12:54:44.282122,0 days 00:12:57.438735,2.4594914786938196,65696.47469241642,4.667196236318041,29862,0.9993044451361623,COMPLETE
126,0.23549000951474786,2025-11-19 12:54:44.547928,2025-11-19 13:06:35.074161,0 days 00:11:50.526233,2.60805473046616,132791.976066605,4.809664206969604,27107,0.9140092330225833,COMPLETE
127,0.24357754519505234,2025-11-19 13:06:35.304799,2025-11-19 13:18:26.649856,0 days 00:11:51.345057,2.2560742993154648,24746.528121633386,4.281687052379153,27425,0.9419505121702368,COMPLETE
128,0.2340627973358706,2025-11-19 13:18:26.848917,2025-11-19 13:30:58.288184,0 days 00:12:31.439267,2.665047357288399,296844.36761545524,4.094102712770782,28785,0.9828249338649789,COMPLETE
129,0.24785918173168411,2025-11-19 13:30:58.510139,2025-11-19 13:41:46.338089,0 days 00:10:47.827950,2.4135052215646065,41468.68068523737,4.853065182087558,24428,0.9545255789108836,COMPLETE
130,0.21455756422454805,2025-11-19 13:41:46.575576,2025-11-19 13:54:21.898224,0 days 00:12:35.322648,2.1430802331308247,159177.13150976624,4.535126185332863,28692,0.9294797867775728,COMPLETE
131,0.17221693625118933,2025-11-19 13:54:22.132326,2025-11-19 14:05:39.283089,0 days 00:11:17.150763,2.738090181293452,586187.9860382723,4.617595533996747,26282,0.09886116082499924,COMPLETE
132,0.21788772597526165,2025-11-19 14:05:39.571513,2025-11-19 14:17:49.595460,0 days 00:12:10.023947,2.03830889732962,98443.52040795962,4.533824575580267,27891,0.9014253872065553,COMPLETE
133,0.24357754519505234,2025-11-19 14:17:49.992548,2025-11-19 14:28:48.288351,0 days 00:10:58.295803,2.328311476110423,24069.106293421628,4.69553537668718,25203,0.9717830470390105,COMPLETE
134,0.1636536631779258,2025-11-19 14:28:48.587027,2025-11-19 14:39:14.260635,0 days 00:10:25.673608,-2.3277861986855153,45714.247482591716,4.361485397889528,23450,0.9691534245392974,COMPLETE
135,0.2530922930542341,2025-11-19 14:39:14.475335,2025-11-19 14:50:25.301844,0 days 00:11:10.826509,2.5086850017244124,77962.32397014486,4.92722222780935,25809,0.9990298770852915,COMPLETE
136,0.2335870599429115,2025-11-19 14:50:25.526308,2025-11-19 15:01:33.610520,0 days 00:11:08.084212,2.4984367202074256,82069.01714676294,4.928590704193439,25828,0.9942858019274075,COMPLETE
137,0.22454804947668885,2025-11-19 15:01:33.829218,2025-11-19 15:13:09.068752,0 days 00:11:35.239534,2.8773241302170893,180905.86543737096,4.8989079060569765,26865,0.9988977348509384,COMPLETE
138,0.23168411037107517,2025-11-19 15:13:09.474379,2025-11-19 15:25:43.512672,0 days 00:12:34.038293,2.1665038702965274,999419.9692161167,4.755984542869255,29239,0.9607685391608721,COMPLETE
139,0.22835394862036157,2025-11-19 15:25:43.719094,2025-11-19 15:36:37.942451,0 days 00:10:54.223357,2.3789781716544978,17572.717864996805,4.469051045789537,24855,0.9393118745548291,COMPLETE
140,0.23168411037107517,2025-11-19 15:36:38.193260,2025-11-19 15:48:04.088349,0 days 00:11:25.895089,2.600826048785119,63824.86850825826,4.315117202913299,25680,0.9209173495311036,COMPLETE
141,0.10513796384395814,2025-11-19 15:48:04.371443,2025-11-19 15:59:49.440237,0 days 00:11:45.068794,2.251192917143436,0.00030770522020788396,3.196326992992492,27485,0.981200174821713,COMPLETE
142,0.2164605137963844,2025-11-19 15:59:49.675122,2025-11-19 16:11:53.830162,0 days 00:12:04.155040,1.9893155424789324,288010.05311799643,4.642744603324165,28297,0.9492002978106563,COMPLETE
143,0.241674595623216,2025-11-19 16:11:54.051839,2025-11-19 16:23:19.780783,0 days 00:11:25.728944,1.8807504572732887,5929.506282047425,4.057511395458867,26764,0.9731116268135621,COMPLETE
144,0.23215984776403426,2025-11-19 16:23:19.998721,2025-11-19 16:33:44.355387,0 days 00:10:24.356666,2.044672207885312,35553.711951320816,3.341986891672361,24394,0.3516625935964327,COMPLETE
145,0.25499524262607043,2025-11-19 16:33:44.775302,2025-11-19 16:43:17.158968,0 days 00:09:32.383666,2.542141764143639,3050.602507798021,3.7165050986660906,22173,0.9645362302490703,COMPLETE
146,0.2302568981921979,2025-11-19 16:43:17.384794,2025-11-19 16:55:46.254299,0 days 00:12:28.869505,2.506895666651451,2607.2065854363423,4.236128155334642,29892,0.9978637570993829,COMPLETE
147,0.24310180780209326,2025-11-19 16:55:46.473994,2025-11-19 17:05:47.197889,0 days 00:10:00.723895,2.767292482503691,113027.64902043277,3.627990760431491,23609,0.9561995814279034,COMPLETE
148,0.2302568981921979,2025-11-19 17:05:47.531727,2025-11-19 17:16:36.066799,0 days 00:10:48.535072,2.4187147234504245,15881.76083548664,4.992042554270206,25978,0.9254250798226651,COMPLETE
149,0.24738344433872503,2025-11-19 17:16:36.320161,2025-11-19 17:26:16.177652,0 days 00:09:39.857491,2.2516579106587837,9954.327580087633,4.8451872109693594,21876,0.9832179580026453,COMPLETE
150,0.22359657469077068,2025-11-19 17:26:16.458378,2025-11-19 17:37:11.545275,0 days 00:10:55.086897,2.6759487945241855,453941.1035672199,4.471519688580017,25096,0.9046145974055034,COMPLETE
151,0.23453853472882968,2025-11-19 17:37:11.794231,2025-11-19 17:46:49.957610,0 days 00:09:38.163379,2.9990222773910045,61660.67226215684,4.633318873521469,20881,0.9572101066898286,COMPLETE
152,0.2373929590865842,2025-11-19 17:46:50.270283,2025-11-19 17:58:37.169029,0 days 00:11:46.898746,2.5372932954312293,140330.40981959034,4.006282073172101,27547,0.9409167200058669,COMPLETE
153,0.2559467174119886,2025-11-19 17:58:37.406765,2025-11-19 18:08:21.682781,0 days 00:09:44.276016,2.1460207759117877,3610.7953001359247,3.706785094392405,21823,0.9775682578749094,COMPLETE
154,0.2445290199809705,2025-11-19 18:08:22.014120,2025-11-19 18:17:55.501016,0 days 00:09:33.486896,2.15756820394581,3619.132927802924,3.651521339750762,22042,0.9806920842466861,COMPLETE
155,0.25784966698382494,2025-11-19 18:17:55.750698,2025-11-19 18:27:36.500367,0 days 00:09:40.749669,2.3414734798308348,1443.547232240356,3.7514539637979305,22600,0.9673768685830366,COMPLETE
156,0.24738344433872503,2025-11-19 18:27:36.730527,2025-11-19 18:37:16.050016,0 days 00:09:39.319489,2.368616080831502,24819.612697854256,3.79685195217749,22608,0.9597124008788022,COMPLETE
157,0.24690770694576594,2025-11-19 18:37:16.274689,2025-11-19 18:46:41.215328,0 days 00:09:24.940639,2.292043000786294,1600.8707126104073,3.533474915933303,21658,0.9978922801842602,COMPLETE
158,0.23168411037107517,2025-11-19 18:46:41.428037,2025-11-19 18:56:24.019285,0 days 00:09:42.591248,2.517594553853095,2391.1743642522792,3.7804103276828322,22568,0.9358363559282528,COMPLETE
159,0.22359657469077068,2025-11-19 18:56:24.350780,2025-11-19 19:06:19.157947,0 days 00:09:54.807167,2.1526215970830718,8484.759490996183,3.9658350821737747,23219,0.8747777143237792,COMPLETE
160,0.14747859181731685,2025-11-19 19:06:19.372825,2025-11-19 19:17:39.486818,0 days 00:11:20.113993,-0.09938051147507077,211446.14391732847,4.158224512242377,26389,0.967285267548423,COMPLETE
161,0.15509039010466222,2025-11-19 19:17:39.702200,2025-11-19 19:29:46.808151,0 days 00:12:07.105951,2.3981264437331933,43678.91778159014,4.773459616697699,28358,0.014049825452626508,COMPLETE
162,0.252616555661275,2025-11-19 19:29:47.032534,2025-11-19 19:40:22.274614,0 days 00:10:35.242080,2.793189805965775,4419.904563949995,4.5566410312626235,24550,0.9190101411050466,COMPLETE
163,0.25784966698382494,2025-11-19 19:40:22.538822,2025-11-19 19:51:08.062553,0 days 00:10:45.523731,2.8400320747909418,4521.338242339629,4.578035352270766,24405,0.913916484267104,COMPLETE
164,0.2588011417697431,2025-11-19 19:51:08.357300,2025-11-19 20:01:49.467706,0 days 00:10:41.110406,2.867418274002662,4591.930430234318,4.498686663569031,24640,0.9470945190482611,COMPLETE
165,0.2626070409134158,2025-11-19 20:01:49.747378,2025-11-19 20:12:17.642972,0 days 00:10:27.895594,2.8640143941214795,4763.867659322555,4.5535465198106575,23847,0.926034241240435,COMPLETE
166,0.2602283539486204,2025-11-19 20:12:18.202248,2025-11-19 20:22:41.524612,0 days 00:10:23.322364,2.9205831565881373,2301.5308038489084,4.3742587278438,23496,0.9431162649902103,COMPLETE
167,0.25071360608943866,2025-11-19 20:22:41.722939,2025-11-19 20:33:12.410431,0 days 00:10:30.687492,2.937265521056277,1425.2718286920997,4.377665386721873,23704,0.9418009700154331,COMPLETE
168,0.241674595623216,2025-11-19 20:33:12.673041,2025-11-19 20:43:51.351083,0 days 00:10:38.678042,2.88036137379459,905.6476999282546,4.501998050224104,24154,0.8898143633628386,COMPLETE
169,0.2373929590865842,2025-11-19 20:43:51.722363,2025-11-19 20:54:03.932952,0 days 00:10:12.210589,2.740517361472694,2771.8074414474104,4.269571710059805,23001,0.9435178495185014,COMPLETE
170,0.2554709800190295,2025-11-19 20:54:04.222685,2025-11-19 21:04:24.345317,0 days 00:10:20.122632,2.651491534219398,6978.436053652178,4.390711553275328,23576,0.9628628974123459,COMPLETE
171,0.24357754519505234,2025-11-19 21:04:24.636011,2025-11-19 21:14:53.220106,0 days 00:10:28.584095,2.8228812963600034,6422.278571506871,4.725580536608817,23811,0.9097427635966763,COMPLETE
172,0.2302568981921979,2025-11-19 21:14:53.467617,2025-11-19 21:24:36.278797,0 days 00:09:42.811180,2.664057304841586,3824.888905944814,4.359489073454125,21490,0.9582594594167175,COMPLETE
173,0.23549000951474786,2025-11-19 21:24:36.524989,2025-11-19 21:34:59.466324,0 days 00:10:22.941335,2.948526868091876,2022.3696247474443,4.4557566304222425,23284,0.9744721416785683,COMPLETE
174,0.24548049476688868,2025-11-19 21:34:59.689825,2025-11-19 21:45:44.040336,0 days 00:10:44.350511,2.6433056813122358,10862.636202889227,4.579437659001242,24884,0.9317247141435616,COMPLETE
175,0.24881065651760229,2025-11-19 21:45:44.249419,2025-11-19 21:55:43.962369,0 days 00:09:59.712950,2.8290180604721957,629.418058408805,4.636390828394402,22282,0.9633080826616987,COMPLETE
176,0.2564224548049477,2025-11-19 21:55:44.225598,2025-11-19 22:06:34.124081,0 days 00:10:49.898483,2.6020648415673913,6398.511051283388,4.439578598567563,24354,0.981385817481441,COMPLETE
177,0.24548049476688868,2025-11-19 22:06:34.385688,2025-11-19 22:17:27.859543,0 days 00:10:53.473855,2.627225405161386,6381.409731610548,4.202855295112681,24092,0.951693448737075,COMPLETE
178,0.25451950523311134,2025-11-19 22:17:28.116029,2025-11-19 22:27:48.329274,0 days 00:10:20.213245,2.9951608608181797,1282.2418558466632,4.317432642850087,23359,0.929119663196262,COMPLETE
179,0.24785918173168411,2025-11-19 22:27:48.540122,2025-11-19 22:37:47.158330,0 days 00:09:58.618208,2.7573699800694036,1146.264782358147,4.309319412528034,23086,0.9261776083144208,COMPLETE
180,0.2564224548049477,2025-11-19 22:37:47.348354,2025-11-19 22:47:31.430852,0 days 00:09:44.082498,2.9690574392945104,2159.832011574681,4.1393842065467386,22424,0.888207064224887,COMPLETE
181,0.24785918173168411,2025-11-19 22:47:31.716384,2025-11-19 22:57:14.425451,0 days 00:09:42.709067,2.5727150556029903,3744.7873654974783,3.9390935254822104,22519,0.8670659442280196,COMPLETE
182,0.24881065651760229,2025-11-19 22:57:14.651675,2025-11-19 23:06:48.213924,0 days 00:09:33.562249,2.723325542552969,2138.386795797018,4.098643471823035,21806,0.8836561320653019,COMPLETE
183,0.25404376784015226,2025-11-19 23:06:48.424608,2025-11-19 23:16:08.226790,0 days 00:09:19.802182,2.894797396184854,548.7734482505992,4.551424637832989,21022,0.9073850477505407,COMPLETE
184,0.24548049476688868,2025-11-19 23:16:08.445791,2025-11-19 23:26:10.323611,0 days 00:10:01.877820,2.995494490670304,1562.4713768844524,4.388162386472306,23583,0.9444381732371108,COMPLETE
185,0.25737392959086586,2025-11-19 23:26:10.563626,2025-11-19 23:36:22.342897,0 days 00:10:11.779271,2.979873221914147,2995.192308663687,4.233700283799865,24344,0.98472223115982,COMPLETE
186,0.2340627973358706,2025-11-19 23:36:22.568388,2025-11-19 23:46:48.110337,0 days 00:10:25.541949,2.7877176201921783,4174.764959170435,3.6915130848099116,24458,0.9848882812421095,COMPLETE
187,0.20313986679352997,2025-11-19 23:46:48.361544,2025-11-19 23:57:26.555241,0 days 00:10:38.193697,2.6094757279284413,7894.663968898886,4.234042450945353,25232,0.9990009906579707,COMPLETE
188,0.252616555661275,2025-11-19 23:57:26.765317,2025-11-20 00:07:11.085556,0 days 00:09:44.320239,2.4924499714500494,2644.1475310467204,4.731358221093058,22672,0.9648833705042101,COMPLETE
189,0.2564224548049477,2025-11-20 00:07:11.292877,2025-11-20 00:17:35.151962,0 days 00:10:23.859085,2.747609048377895,13164.104488600067,4.116115605419777,24582,0.9801780343947216,COMPLETE
190,0.14843006660323502,2025-11-20 00:17:35.459805,2025-11-20 00:27:44.857006,0 days 00:10:09.397201,-0.3790324798855166,13937.45092228074,4.143884708967951,24342,0.9811346758725185,COMPLETE
191,0.24595623215984777,2025-11-20 00:27:45.047023,2025-11-20 00:38:10.816554,0 days 00:10:25.769531,2.883242784901355,7376.447114544709,4.068137395408813,24632,0.9466633343245077,COMPLETE
192,0.14652711703139867,2025-11-20 00:38:11.386431,2025-11-20 00:48:51.308128,0 days 00:10:39.921697,0.20305249357924438,15196.175763717503,4.493027096102411,25230,0.9797369535501227,COMPLETE
193,0.25023786869647957,2025-11-20 00:48:51.565594,2025-11-20 00:59:14.835664,0 days 00:10:23.270070,2.7153969093820214,5027.501976554234,3.866353271485731,23856,0.9653977456712575,COMPLETE
194,0.24262607040913417,2025-11-20 00:59:15.155271,2025-11-20 01:09:31.972175,0 days 00:10:16.816904,2.7994033582731723,2709.2761284805215,4.634230175449003,23005,0.9577683300231221,COMPLETE
195,0.20123691722169362,2025-11-20 01:09:32.179206,2025-11-20 01:19:31.480348,0 days 00:09:59.301142,2.5479201458456116,8502.032845386459,3.9979713913881976,22254,0.45469981136189996,COMPLETE
196,0.25166508087535683,2025-11-20 01:19:31.695296,2025-11-20 01:29:54.569510,0 days 00:10:22.874214,2.663675260411774,4490.812661059828,3.781300273543652,23915,0.9838792828773351,COMPLETE
197,0.22978116079923883,2025-11-20 01:29:54.769959,2025-11-20 01:39:38.766642,0 days 00:09:43.996683,2.4005936987198164,1748.6812231054018,4.4060203143969385,21605,0.9972856059289226,COMPLETE
